DateTime,RecordingTime,Values,
,4.212199,1.531587,
,4.227992,1.50149,
,4.243488,1.471318,
,4.256341,1.445836,
,4.269018,1.420316,
,4.282262,1.393263,
,4.295237,1.366394,
,4.308479,1.338617,
,4.325057,1.303369,
,4.339744,1.271736,
,4.353765,1.241209,
,4.368392,1.20905,
,4.382114,1.178617,
,4.395339,1.149068,
,4.409215,1.11786,
,4.42191,1.08915,
,4.434262,1.061084,
,4.450146,1.024839,
,4.463309,0.994695,
,4.476017,0.965526,
,4.490005,0.933366,
,4.50258,0.90443,
,4.517412,0.870297,
,4.530264,0.840742,
,4.543029,0.811431,
,4.555754,0.782274,
,4.569455,0.750973,
,4.582,0.722421,
,4.597445,0.68744,
,4.612353,0.653884,
,4.627187,0.620733,
,4.643026,0.585633,
,4.655781,0.557617,
,4.669727,0.527263,
,4.68264,0.499443,
,4.697577,0.467625,
,4.712359,0.436554,
,4.725198,0.409925,
,4.738496,0.382718,
,4.751805,0.35589,
,4.765558,0.328609,
,4.781033,0.29848,
,4.795835,0.27025,
,4.810434,0.243,
,4.823186,0.219697,
,4.839059,0.19137,
,4.854102,0.165245,
,4.867165,0.143148,
,4.88143,0.119665,
,4.89642,0.095735,
,4.909375,0.075692,
,4.92316,0.05503,
,4.935408,0.037261,
,4.948968,0.018249,
,4.964363,-0.002472,
,4.977285,-0.019145,
,4.990001,-0.034895,
,5.003367,-0.050737,
,5.016316,-0.065376,
,5.031259,-0.081388,
,5.045844,-0.096092,
,5.058963,-0.108525,
,5.072281,-0.12037,
,5.085331,-0.131208,
,5.100289,-0.142684,
,5.115355,-0.153211,
,5.129758,-0.162296,
,5.142594,-0.169581,
,5.158317,-0.177452,
,5.171597,-0.183192,
,5.186489,-0.188634,
,5.199907,-0.192632,
,5.21444,-0.195992,
,5.228438,-0.198269,
,5.243965,-0.199693,
,5.256627,-0.199996,
,5.26951,-0.199511,
,5.284143,-0.197991,
,5.298069,-0.19559,
,5.31325,-0.191912,
,5.328218,-0.187207,
,5.342959,-0.181531,
,5.356072,-0.175618,
,5.370941,-0.167934,
,5.385759,-0.159247,
,5.400008,-0.149934,
,5.414726,-0.139335,
,5.429327,-0.127846,
,5.445439,-0.114056,
,5.460425,-0.100194,
,5.475833,-0.084917,
,5.490833,-0.069061,
,5.503623,-0.054787,
,5.517359,-0.038696,
,5.531881,-0.020841,
,5.546488,-0.002024,
,5.560992,0.017493,
,5.573431,0.034879,
,5.58591,0.052912,
,5.599929,0.073856,
,5.614302,0.096068,
,5.628337,0.118459,
,5.64327,0.143022,
,5.657329,0.166822,
,5.669931,0.188698,
,5.682514,0.211032,
,5.697202,0.237706,
,5.712285,0.265746,
,5.72495,0.289782,
,5.737342,0.313716,
,5.750597,0.33975,
,5.764471,0.367462,
,5.777692,0.394286,
,5.791396,0.4225,
,5.806438,0.453921,
,5.820244,0.483147,
,5.833648,0.511855,
,5.847289,0.541385,
,5.860322,0.56987,
,5.875702,0.603803,
,5.888913,0.633194,
,5.90204,0.6626,
,5.917182,0.696744,
,5.931267,0.728686,
,5.944656,0.759189,
,5.95924,0.792539,
,5.972277,0.822436,
,5.985474,0.852759,
,5.998615,0.882991,
,6.014003,0.918405,
,6.026559,0.947288,
,6.0408,0.980008,
,6.05412,1.010548,
,6.066903,1.039778,
,6.081089,1.072095,
,6.094662,1.102875,
,6.109382,1.136072,
,6.124258,1.169393,
,6.136994,1.197713,
,6.152962,1.232919,
,6.167136,1.263861,
,6.181449,1.29478,
,6.194064,1.321738,
,6.207034,1.349149,
,6.221945,1.380253,
,6.234781,1.406655,
,6.249191,1.435858,
,6.263572,1.464516,
,6.278439,1.493605,
,6.291094,1.517916,
,6.30379,1.541869,
,6.320165,1.572092,
,6.333579,1.596264,
,6.34725,1.620337,
,6.361183,1.644261,
,6.374072,1.665831,
,6.386826,1.686627,
,6.40058,1.708426,
,6.413444,1.728208,
,6.426576,1.747784,
,6.442104,1.770105,
,6.457113,1.790805,
,6.47109,1.809296,
,6.484525,1.826334,
,6.499768,1.844779,
,6.513665,1.860758,
,6.525906,1.874161,
,6.541443,1.890252,
,6.555729,1.904124,
,6.570404,1.917439,
,6.583775,1.928736,
,6.598145,1.93998,
,6.612648,1.950375,
,6.624853,1.958374,
,6.639312,1.966956,
,6.651995,1.97368,
,6.666518,1.980452,
,6.680678,1.986094,
,6.69365,1.990425,
,6.708997,1.994512,
,6.723031,1.997262,
,6.736398,1.999002,
,6.749262,1.999865,
,6.762009,1.999934,
,6.776323,1.999078,
,6.790922,1.997191,
,6.80368,1.994703,
,6.816446,1.991433,
,6.829942,1.987129,
,6.84299,1.982144,
,6.856545,1.976111,
,6.870777,1.968846,
,6.885136,1.960555,
,6.900574,1.950574,
,6.914181,1.940868,
,6.928498,1.929744,
,6.943882,1.916763,
,6.956418,1.905404,
,6.969074,1.893236,
,6.98182,1.880276,
,6.997277,1.863627,
,7.010691,1.848361,
,7.023128,1.833538,
,7.035979,1.817559,
,7.049519,1.800005,
,7.06403,1.780392,
,7.077766,1.761077,
,7.090627,1.742348,
,7.103042,1.72369,
,7.117267,1.701629,
,7.130543,1.680399,
,7.143481,1.659131,
,7.156209,1.637664,
,7.169147,1.615307,
,7.184644,1.587839,
,7.198968,1.561807,
,7.214101,1.533661,
,7.22789,1.50746,
,7.241159,1.481769,
,7.25373,1.457015,
,7.26619,1.432101,
,7.280714,1.402603,
,7.294646,1.373872,
,7.308381,1.345153,
,7.321793,1.316754,
,7.335113,1.288225,
,7.348388,1.25949,
,7.361913,1.229932,
,7.37559,1.199771,
,7.388076,1.172023,
,7.401457,1.142081,
,7.41454,1.112621,
,7.427274,1.083793,
,7.441586,1.051239,
,7.455011,1.02058,
,7.467826,0.991222,
,7.48162,0.959552,
,7.495244,0.928223,
,7.508758,0.897122,
,7.522417,0.865691,
,7.535899,0.834696,
,7.549659,0.803113,
,7.563671,0.771036,
,7.577198,0.740172,
,7.590036,0.711001,
,7.603899,0.679652,
,7.617446,0.649198,
,7.630458,0.620136,
,7.644992,0.587921,
,7.658524,0.558186,
,7.672994,0.526692,
,7.686604,0.497384,
,7.700553,0.467682,
,7.71386,0.439692,
,7.727438,0.411499,
,7.740037,0.38569,
,7.75282,0.359871,
,7.766438,0.33279,
,7.779373,0.307494,
,7.791878,0.283451,
,7.804788,0.259073,
,7.817793,0.234986,
,7.830643,0.211671,
,7.844279,0.187475,
,7.858032,0.163658,
,7.871644,0.140685,
,7.885875,0.117329,
,7.900454,0.094119,
,7.914001,0.073224,
,7.926529,0.054491,
,7.939408,0.03584,
,7.952494,0.017531,
,7.966136,-0.000851,
,7.979734,-0.018444,
,7.993287,-0.035239,
,8.0069,-0.051351,
,8.019549,-0.06563,
,8.032415,-0.079461,
,8.046285,-0.093575,
,8.059734,-0.106463,
,8.07343,-0.118768,
,8.08697,-0.13011,
,8.100451,-0.140583,
,8.114365,-0.150522,
,8.128106,-0.159465,
,8.141694,-0.167448,
,8.154817,-0.174337,
,8.167829,-0.180369,
,8.181819,-0.185962,
,8.194793,-0.190316,
,8.207139,-0.193714,
,8.220534,-0.196575,
,8.233699,-0.198548,
,8.248108,-0.199752,
,8.262037,-0.199966,
,8.274665,-0.199352,
,8.288013,-0.197869,
,8.301535,-0.195494,
,8.315683,-0.19207,
,8.32948,-0.187809,
,8.344221,-0.182256,
,8.359012,-0.175649,
,8.372988,-0.168459,
,8.385895,-0.161008,
,8.398667,-0.152872,
,8.41292,-0.142907,
,8.426612,-0.13246,
,8.440731,-0.1208,
,8.454383,-0.108679,
,8.468196,-0.095576,
,8.481589,-0.082079,
,8.494264,-0.068595,
,8.508261,-0.052913,
,8.522254,-0.036419,
,8.536373,-0.018962,
,8.549619,-0.001856,
,8.563625,0.016985,
,8.576933,0.03559,
,8.591271,0.056384,
,8.604074,0.075593,
,8.617238,0.095963,
,8.630342,0.116843,
,8.64502,0.140933,
,8.658423,0.163553,
,8.672818,0.188494,
,8.68664,0.213049,
,8.701082,0.239319,
,8.71534,0.265845,
,8.729695,0.293124,
,8.744231,0.321303,
,8.758211,0.34891,
,8.772632,0.37788,
,8.787206,0.40764,
,8.801838,0.43798,
,8.816743,0.469332,
,8.831909,0.501664,
,8.847289,0.534859,
,8.861753,0.566422,
,8.875719,0.597191,
,8.89149,0.632243,
,8.906877,0.666724,
,8.921494,0.699705,
,8.937003,0.734903,
,8.951726,0.768477,
,8.966536,0.802374,
,8.981233,0.836107,
,8.995149,0.868105,
,9.009285,0.900635,
,9.023405,0.933128,
,9.037365,0.965224,
,9.051281,0.997163,
,9.065103,1.028805,
,9.078743,1.059926,
,9.091581,1.0891,
,9.104685,1.118733,
,9.118539,1.149886,
,9.132719,1.181553,
,9.145645,1.210206,
,9.159646,1.240984,
,9.173391,1.270916,
,9.187445,1.301201,
,9.201615,1.331388,
,9.215193,1.359956,
,9.228684,1.387976,
,9.242666,1.416601,
,9.256244,1.443978,
,9.269703,1.470683,
,9.283429,1.497452,
,9.297275,1.523952,
,9.310675,1.549104,
,9.323563,1.572812,
,9.337258,1.59747,
,9.351053,1.621727,
,9.36399,1.643928,
,9.377379,1.666334,
,9.391783,1.689764,
,9.405883,1.712006,
,9.419693,1.733106,
,9.434307,1.754676,
,9.448928,1.775457,
,9.462907,1.794559,
,9.476397,1.812268,
,9.489288,1.828513,
,9.50321,1.845297,
,9.516929,1.86105,
,9.530016,1.875342,
,9.543493,1.889296,
,9.556229,1.901758,
,9.569216,1.913733,
,9.582198,1.924957,
,9.595788,1.935896,
,9.608953,1.945695,
,9.621942,1.954584,
,9.636186,1.963437,
,9.650785,1.971531,
,9.664176,1.978075,
,9.678802,1.984257,
,9.692595,1.989156,
,9.70695,1.993292,
,9.720194,1.996233,
,9.733356,1.998322,
,9.747519,1.999639,
,9.761833,1.99999,
,9.776053,1.999361,
,9.790361,1.997746,
,9.803453,1.995406,
,9.817122,1.992087,
,9.831121,1.987761,
,9.845635,1.982291,
,9.85965,1.976063,
,9.873677,1.968902,
,9.887766,1.960783,
,9.90176,1.951806,
,9.915571,1.942062,
,9.930394,1.930637,
,9.944485,1.918857,
,9.95788,1.906837,
,9.971457,1.893848,
,9.984884,1.880213,
,9.998151,1.865981,
,10.012518,1.849729,
,10.025956,1.833751,
,10.039903,1.816388,
,10.05324,1.799055,
,10.067025,1.780402,
,10.080679,1.761206,
,10.094245,1.741437,
,10.107127,1.722037,
,10.121238,1.700102,
,10.134174,1.67938,
,10.147378,1.65764,
,10.160352,1.635716,
,10.173667,1.612651,
,10.187655,1.587824,
,10.201444,1.562777,
,10.214461,1.538623,
,10.228225,1.512569,
,10.241451,1.487055,
,10.255145,1.460165,
,10.268862,1.432767,
,10.282598,1.404892,
,10.296501,1.376254,
,10.309308,1.349517,
,10.323629,1.319236,
,10.337417,1.289729,
,10.351051,1.26023,
,10.365878,1.227819,
,10.381396,1.193558,
,10.395373,1.162435,
,10.409811,1.130052,
,10.423309,1.099585,
,10.436773,1.069037,
,10.451264,1.036007,
,10.46505,1.004473,
,10.47912,0.972194,
,10.49332,0.939557,
,10.507081,0.907894,
,10.521205,0.875388,
,10.534401,0.845039,
,10.548507,0.812642,
,10.56312,0.779162,
,10.577473,0.746388,
,10.59201,0.713333,
,10.606535,0.680482,
,10.62059,0.648883,
,10.63544,0.615734,
,10.65006,0.583368,
,10.663591,0.553672,
,10.677588,0.523249,
,10.69191,0.492455,
,10.705871,0.462789,
,10.719375,0.434447,
,10.733181,0.405856,
,10.746361,0.378947,
,10.760159,0.351199,
,10.773355,0.325092,
,10.786818,0.298906,
,10.80082,0.272178,
,10.8144,0.246772,
,10.828706,0.220576,
,10.842584,0.195748,
,10.855979,0.172344,
,10.870141,0.148224,
,10.884236,0.124871,
,10.897435,0.103616,
,10.910158,0.0837,
,10.923027,0.064147,
,10.936044,0.044983,
,10.950068,0.025047,
,10.963173,0.007099,
,10.976605,-0.010602,
,10.991234,-0.02906,
,11.005259,-0.04594,
,11.018826,-0.061494,
,11.032793,-0.076697,
,11.047119,-0.091423,
,11.060919,-0.104767,
,11.073741,-0.116415,
,11.087819,-0.128361,
,11.101566,-0.139166,
,11.114878,-0.148809,
