DateTime,RecordingTime,Values,PartTimes,
,3.126302,1.979418,1.210517,
,3.13978,1.141777,1.238594,
,3.152548,1.078647,1.267839,
,3.165966,0.379631,1.30002,
,3.180887,0.900097,1.331828,
,3.195817,1.17324,1.359312,
,3.208879,0.86544,1.385975,
,3.221709,0.915615,1.41235,
,3.23457,0.90596,1.440011,
,3.248257,0.095688,1.466181,
,3.261412,0.42178,1.495613,
,3.276473,0.803643,1.519262,
,3.288798,0.322984,1.54263,
,3.301194,0.040281,1.57493,
,3.318721,0.966012,1.603437,
,3.334615,0.739791,1.627768,
,3.348537,0.113387,1.653774,
,3.363824,0.819249,1.678015,
,3.3785,1.356212,1.702651,
,3.393893,0.482204,1.726753,
,3.409482,0.976144,1.746273,
,3.422544,0.705258,1.765514,
,3.435856,0.807167,1.788418,
,3.452346,0.899926,1.806219,
,3.465721,-0.126088,1.825011,
,3.480458,1.134591,1.842621,
,3.49494,0.742826,1.857894,
,3.508118,1.365337,1.875601,
,3.524253,1.901338,1.889303,
,3.537495,1.741182,1.903076,
,3.551614,0.603113,1.916664,
,3.566517,0.418232,1.928898,
,3.58097,0.341649,1.938938,
,3.593757,0.288943,1.947964,
,3.606158,0.898818,1.957053,
,3.619761,0.275205,1.965716,
,3.634115,1.003664,1.973741,
,3.649113,0.441233,1.980286,
,3.663133,0.104391,1.986338,
,3.678349,1.095137,1.990479,
,3.690827,0.887147,1.993963,
,3.703657,0.879548,1.997,
,3.718448,0.896658,1.998783,
,3.731269,1.534956,1.999779,
,3.744183,0.921015,1.999968,
,3.75741,0.01842,1.999383,
,3.769762,0.901729,1.997617,
,3.785219,1.803656,1.995086,
,3.798947,0.902166,1.991564,
,3.812982,0.654716,1.986779,
,3.82793,0.993948,1.980955,
,3.842819,0.887643,1.974996,
,3.855854,1.432772,1.968271,
,3.868826,1.390696,1.960658,
,3.881965,1.615455,1.952311,
,3.895002,0.721163,1.943408,
,3.907729,0.717709,1.933869,
,3.920325,0.582465,1.921909,
,3.934929,0.885018,1.910555,
,3.947825,1.910069,1.898032,
,3.961169,1.577474,1.885515,
,3.973747,0.899611,1.872165,
,3.986465,-0.109618,1.857815,
,3.999459,1.975232,1.839201,
,4.015436,0.855521,1.821388,
,4.029945,0.93899,1.801849,
,4.045119,1.234604,1.781597,
,4.060152,1.023967,1.764071,
,4.072667,1.773544,1.745454,
,4.08552,0.879152,1.725931,
,4.098567,1.191022,1.700473,
,4.114997,1.372923,1.67999,
,4.127792,0.39812,1.657797,
,4.141278,0.647435,1.63586,
,4.154261,0.728345,1.613161,
,4.16737,0.838576,1.587917,
,4.181598,1.004325,1.556987,
,4.198582,0.652874,1.531587,
,4.212199,1.664122,1.50149,
,4.227992,1.111265,1.471318,
,4.243488,0.678823,1.445836,
,4.256341,1.580058,1.420316,
,4.269018,0.768298,1.393263,
,4.282262,1.537662,1.366394,
,4.295237,0.825647,1.338617,
,4.308479,1.717397,1.303369,
,4.325057,0.304011,1.271736,
,4.339744,1.216382,1.241209,
,4.353765,0.460283,1.20905,
,4.368392,1.857688,1.178617,
,4.382114,0.918202,1.149068,
,4.395339,0.963746,1.11786,
,4.409215,0.900888,1.08915,
,4.42191,1.358767,1.061084,
,4.434262,0.462064,1.024839,
,4.450146,1.113833,0.994695,
,4.463309,-0.110519,0.965526,
,4.476017,0.790654,0.933366,
,4.490005,0.480672,0.90443,
,4.50258,0.759154,0.870297,
,4.517412,0.893607,0.840742,
,4.530264,1.613994,0.811431,
,4.543029,0.530694,0.782274,
,4.555754,1.035634,0.750973,
,4.569455,0.50086,0.722421,
,4.582,1.851433,0.68744,
,4.597445,0.783097,0.653884,
,4.612353,0.572101,0.620733,
,4.627187,0.891017,0.585633,
,4.643026,0.900137,0.557617,
,4.655781,1.919936,0.527263,
,4.669727,1.537049,0.499443,
,4.68264,1.015289,0.467625,
